,Building ID,total_mrr,netx_mrc,Market,Street Address,City,State,Postal Code,Latitude,Longitude,On Zayo Network Status,Net Classification,Type,Network Proximity, Estimated Build Cost ,est_cost,b_id
28,Bldg-017035,1257284.6999999983,37086.26999999998,Denver,910 15th St,Denver,CO,80202,39.74556,-104.995682,On Zayo Network,On-Net,Carrier Hotel,96.49," $16,742.05 ",16742.05,Bldg-017035
29,Bldg-018751,87787.89,0.0,Atlanta,1369 Spring St SE,Smyrna,GA,30080,33.884115,-84.513244,On Zayo Network,On-Net,ILEC Central Office,105.12," $13,153.60 ",13153.6,Bldg-018751
30,Bldg-018752,58432.280000000006,0.0,Atlanta,1732 Powers Ferry Rd SE,Marietta,GA,30067,33.91,-84.4659556,On Zayo Network,On-Net,ILEC Central Office,111.42," $13,342.60 ",13342.6,Bldg-018752
31,Bldg-018754,65677.15999999997,1189.38,Atlanta,180 Peachtree St NW,Atlanta,GA,30303,33.758884,-84.38769,On Zayo Network,On-Net,Carrier Hotel,1055.22," $35,325.28 ",35325.28,Bldg-018754
32,Bldg-018759,6329.35,0.0,Atlanta,3065 Main St,Atlanta,GA,30344,33.680383,-84.440665,On Zayo Network,On-Net,ILEC Central Office,133.32," $13,999.60 ",13999.6,Bldg-018759
33,Bldg-018762,1988.37,0.0,Atlanta,5375 Chamblee Dunwoody Rd,Atlanta,GA,30338,33.94521760000001,-84.33261850000001,On Zayo Network,On-Net,Cell Site,148.74," $14,462.20 ",14462.2,Bldg-018762
34,Bldg-018764,40903.84999999999,2125.21,Atlanta,5866 Buford Hwy NW,Norcross,GA,30071,33.936733000000004,-84.213628,On Zayo Network,On-Net,ILEC Central Office,8.14," $10,244.20 ",10244.2,Bldg-018764
35,Bldg-018765,3368.26,0.0,Atlanta,60 Oak St,Roswell,GA,30075,34.020176899999996,-84.359444,On Zayo Network,On-Net,ILEC Central Office,162.04," $14,861.20 ",14861.2,Bldg-018765
36,Bldg-018767,6142.98,0.0,Atlanta,65 10th St NE,Atlanta,GA,30309,33.7814526,-84.3854818,On Zayo Network,On-Net,ILEC Central Office,242.48," $17,274.40 ",17274.4,Bldg-018767
37,Bldg-022926,165.96,0.0,Atlanta,275 Decatur St SE,Atlanta,GA,30312,33.749474799999994,-84.3801343,On Zayo Network,Fiber Only,Office - Single Tenant,2212.89," $63,109.36 ",63109.36,Bldg-022926
38,Bldg-027193,92469.16000000015,22161.19,Atlanta,55 Marietta St NW,Atlanta,GA,30303,33.7559351,-84.3908998,On Zayo Network,On-Net,Carrier Hotel,110.85," $13,325.50 ",13325.5,Bldg-027193
39,Bldg-029754,224.41,0.0,Dallas,1700 Pacific Ave,Dallas,TX,75201,32.782501,-96.796669,On Zayo Network,Fiber Only,Office - Multi Tenant,182.47," $22,948.20 ",22948.2,Bldg-029754
40,Bldg-029881,55.32,0.0,Denver,9180 Commerce Center Cir,Littleton,CO,80129,39.5500631,-105.03425790000001,On Zayo Network,On-Net,Office - Multi Tenant,2086.05," $74,981.50 ",74981.5,Bldg-029881
41,Bldg-030429,10373.09,0.0,Atlanta,1001 Windward Concourse,Alpharetta,GA,30005,34.096125,-84.238293,On Zayo Network,Fiber Only,Office - Single Tenant,372.28," $21,168.40 ",21168.4,Bldg-030429
42,Bldg-030642,2518721.659999998,19422.629999999994,Denver,393 Inverness Pkwy,Englewood,CO,80112,39.5643596,-104.86654820000001,On Zayo Network,On-Net,Neutral Data Center,96.73," $16,752.85 ",16752.85,Bldg-030642
43,Bldg-031512,24384.909999999996,1069.52,Dallas,1232 Alma Rd,Richardson,TX,75081,32.966302,-96.715742,On Zayo Network,On-Net,Neutral Data Center,319.37," $31,162.20 ",31162.2,Bldg-031512
44,Bldg-031893,61159.79000000001,5043.339999999999,Denver,8534 Concord Center Dr,Englewood,CO,80112,39.560789,-104.830688,On Zayo Network,On-Net,Neutral Data Center,582.79," $29,883.70 ",29883.7,Bldg-031893
45,Bldg-032124,2189.34,0.0,Denver,I-70 and Hwy 225,Aurora,CO,80011,39.771509,-104.82990500000001,Not on Zayo Network,Stubbed,Splice Point,0.06," $12,402.70 ",12402.7,Bldg-032124
46,Bldg-033953,22791.3,5175.96,Atlanta,11650 Great Oaks Way,Alpharetta,GA,30022,34.063368,-84.272632,On Zayo Network,On-Net,Neutral Data Center,2137.78," $61,306.72 ",61306.72,Bldg-033953
47,Bldg-036879,65728.69,497.88,Atlanta,4000 Highlands Pkwy SE,Smyrna,GA,30082,33.829028,-84.503055,On Zayo Network,On-Net,Carrier POP,188.62," $15,658.60 ",15658.6,Bldg-036879
48,Bldg-037241,1354.95,0.0,Denver,W 48th Ave & Zuni St,Denver,CO,80205,39.783991,-105.015854,On Zayo Network,Fiber Only,Splice Point,6.58," $12,696.10 ",12696.1,Bldg-037241
49,Bldg-037366,26931.17,493.27,Atlanta,120 Satellite Blvd NW,Suwanee,GA,30024,34.0374641,-84.0572672,On Zayo Network,Fiber Only,Office - Single Tenant,405.19," $22,155.70 ",22155.7,Bldg-037366
50,Bldg-037367,4904.67,0.0,Atlanta,2525 Westside Pkwy,Alpharetta,GA,30004,34.0826226,-84.267566,On Zayo Network,On-Net,Private Data Center,1580.14," $47,923.36 ",47923.36,Bldg-037367
51,Bldg-038051,12743.79,55.32,Atlanta,1 Ravinia Dr,Atlanta,GA,30346,33.9218424,-84.3368988,On Zayo Network,Fiber Only,Office - Multi Tenant,622.35," $24,936.40 ",24936.4,Bldg-038051
52,Bldg-038052,5843.1,0.0,Atlanta,1 Verizon Pl,Alpharetta,GA,30004,34.094361,-84.26810400000001,Not on Zayo Network,Stubbed,Mobile Service Center,372.69," $21,180.70 ",21180.7,Bldg-038052
53,Bldg-038053,4538.959999999999,0.0,Atlanta,10 10th St NE,Atlanta,GA,30309,33.7817533,-84.387215,On Zayo Network,Fiber Only,Office - Multi Tenant,184.47," $15,534.10 ",15534.1,Bldg-038053
54,Bldg-038055,3886.4799999999996,0.0,Atlanta,100 Decatur St SE,Atlanta,GA,30303,33.752767600000006,-84.3865773,On Zayo Network,Fiber Only,College/University,627.87," $25,068.88 ",25068.88,Bldg-038055
55,Bldg-038056,20891.590000000004,0.0,Atlanta,100 Galleria Pkwy SE,Atlanta,GA,30339,33.884987,-84.4628196,On Zayo Network,Fiber Only,Office - Multi Tenant,283.6," $18,508.00 ",18508.0,Bldg-038056
56,Bldg-038059,1556.02,0.0,Atlanta,1003 Donnelly Ave SW,Atlanta,GA,30310,33.729225,-84.420197,On Zayo Network,Fiber Only,Neutral Data Center,57.36," $11,720.80 ",11720.8,Bldg-038059
57,Bldg-038061,32.66,0.0,Atlanta,101 Marietta St NW,Atlanta,GA,30303,33.756917200000004,-84.39204409999999,On Zayo Network,Fiber Only,Office - Multi Tenant,95.82," $12,874.60 ",12874.6,Bldg-038061
58,Bldg-038062,601.29,0.0,Atlanta,1016 Howell Mill Rd NW,Atlanta,GA,30318,33.782245700000004,-84.4117437,On Zayo Network,Fiber Only,Office - Multi Tenant,97.57," $12,927.10 ",12927.1,Bldg-038062
59,Bldg-038063,17569.349999999995,0.0,Atlanta,10300 Old Alabama Rd Con,Alpharetta,GA,30022,34.0315054,-84.2906847,On Zayo Network,Fiber Only,Mobile Service Center,211.29," $16,338.70 ",16338.7,Bldg-038063
60,Bldg-038065,128.66,0.0,Atlanta,1040 Crown Pointe Pkwy,Atlanta,GA,30338,33.9313995,-84.3466296,On Zayo Network,Fiber Only,Office - Multi Tenant,413.02," $22,390.60 ",22390.6,Bldg-038065
61,Bldg-038066,128.66,0.0,Atlanta,1050 Crown Pointe Pkwy,Atlanta,GA,30338,33.9313851,-84.3466516,On Zayo Network,Fiber Only,Office - Multi Tenant,411.84," $22,355.20 ",22355.2,Bldg-038066
62,Bldg-038067,26949.48,968.0999999999999,Atlanta,10540 Duke Dr,Alpharetta,GA,30009,34.0361583,-84.31945400000001,On Zayo Network,Fiber Only,Office - Multi Tenant,1273.54," $40,564.96 ",40564.96,Bldg-038067
63,Bldg-038068,36963.36000000003,3258.3500000000004,Atlanta,1055 Spring St NW,Atlanta,GA,30309,33.783427,-84.38855699999999,On Zayo Network,On-Net,Neutral Data Center,185.76," $15,572.80 ",15572.8,Bldg-038068
64,Bldg-038070,224.62,0.0,Atlanta,1100 Circle 75 Pkwy SE,Atlanta,GA,30339,33.889795,-84.465361,On Zayo Network,Fiber Only,Office - Multi Tenant,147.45," $14,423.50 ",14423.5,Bldg-038070
65,Bldg-038071,765654.9699999981,5606.289999999999,Atlanta,1100 White St SW,Atlanta,GA,30310,33.733839200000006,-84.4256845,On Zayo Network,Fiber Only,Neutral Data Center,297.34," $18,920.20 ",18920.2,Bldg-038071
66,Bldg-038072,12640.82,0.0,Atlanta,1117 Perimeter Ctr,Atlanta,GA,30338,33.930757,-84.35232099999999,On Zayo Network,Fiber Only,Office - Multi Tenant,331.34," $19,940.20 ",19940.2,Bldg-038072
67,Bldg-038073,58270.4,0.0,Atlanta,11175 Cicero Dr,Alpharetta,GA,30022,34.051286299999994,-84.27830970000001,On Zayo Network,Fiber Only,Office - Multi Tenant,360.91," $20,827.30 ",20827.3,Bldg-038073
68,Bldg-038074,1773.33,165.96,Atlanta,1120 Curran St NW,Atlanta,GA,30318,33.7855586,-84.4057855,On Zayo Network,Fiber Only,Neutral Data Center,540.75," $22,978.00 ",22978.0,Bldg-038074
69,Bldg-038076,26302.74000000001,221.28,Atlanta,1130 Powers Ferry Pl SE,Marietta,GA,30067,33.925308,-84.481658,On Zayo Network,Restricted,Neutral Data Center,116.9," $13,507.00 ",13507.0,Bldg-038076
70,Bldg-038079,27740.61,0.0,Atlanta,11470 N Fulton Industrial Blvd,Alpharetta,GA,30009,34.055834600000004,-84.3056806,Build in Progress,Fiber Only,Cell Site,6.26," $10,187.80 ",10187.8,Bldg-038079
71,Bldg-038080,15616.83,285.82,Atlanta,1155 Perimeter Center W,Atlanta,GA,30338,33.929994,-84.35120440000001,On Zayo Network,On-Net,Office - Multi Tenant,385.99," $21,579.70 ",21579.7,Bldg-038080
72,Bldg-038081,411.52,0.0,Atlanta,1170 Peachtree St NE,Atlanta,GA,30309,33.7863773,-84.38378809999999,On Zayo Network,Fiber Only,Office - Multi Tenant,136.34," $14,090.20 ",14090.2,Bldg-038081
73,Bldg-038082,3931.7599999999998,110.64,Atlanta,1180 Peachtree St NE,Atlanta,GA,30309,33.7869848,-84.38365329999999,On Zayo Network,On-Net,Office - Multi Tenant,84.68," $12,540.40 ",12540.4,Bldg-038082
74,Bldg-038083,848.6800000000001,0.0,Atlanta,1180 W Peachtree St NW,Atlanta,GA,30309,33.7869721,-84.3882771,On Zayo Network,Fiber Only,Office - Multi Tenant,134.51," $14,035.30 ",14035.3,Bldg-038083
75,Bldg-038084,113261.89000000001,2693.06,Atlanta,1190 Allene Ave SW,Atlanta,GA,30310,33.7227185,-84.4130073,On Zayo Network,On-Net,Carrier POP,157.57," $14,727.10 ",14727.1,Bldg-038084
76,Bldg-038085,1503.82,0.0,Atlanta,400 West Peachtree St NW,Atlanta,GA,30308,33.7654874,-84.3879574,On Zayo Network,Fiber Only,Hotel & Inn,1702.01," $50,848.24 ",50848.24,Bldg-038085
77,Bldg-038086,45847.37,0.0,Atlanta,120 Marietta St NW,Atlanta,GA,30303,33.757001,-84.3928999,On Zayo Network,Fiber Only,Hotel & Inn,81.44," $12,443.20 ",12443.2,Bldg-038086
78,Bldg-038087,1000.3699999999999,0.0,Atlanta,1200 Abernathy Rd,Atlanta,GA,30328,33.9337846,-84.3521195,On Zayo Network,Fiber Only,Office - Multi Tenant,254.1," $17,623.00 ",17623.0,Bldg-038087
79,Bldg-038088,30.74,0.0,Atlanta,1200 Ashwood Pkwy,Atlanta,GA,30338,33.93378,-84.3404528,On Zayo Network,Fiber Only,Office - Multi Tenant,157.0," $14,710.00 ",14710.0,Bldg-038088
80,Bldg-038091,523.27,0.0,Atlanta,1230 Peachtree St NE,Atlanta,GA,30309,33.7878127,-84.3850113,On Zayo Network,Fiber Only,Office - Multi Tenant,386.62," $21,598.60 ",21598.6,Bldg-038091
81,Bldg-038092,1209.45,0.0,Atlanta,1256 Briarcliff Rd NE,Atlanta,GA,30306,33.7885395,-84.342402,On Zayo Network,Fiber Only,College/University,860.6," $30,654.40 ",30654.4,Bldg-038092
82,Bldg-038095,3327.18,0.0,Atlanta,1355 Windward Concourse,Alpharetta,GA,30005,34.0974042,-84.2397797,On Zayo Network,Fiber Only,Office - Multi Tenant,244.13," $17,323.90 ",17323.9,Bldg-038095
83,Bldg-038097,165.96,0.0,Atlanta,1439 Peachtree St NE,Atlanta,GA,30309,33.794207899999996,-84.38672,On Zayo Network,Fiber Only,Office - Multi Tenant,181.58," $15,447.40 ",15447.4,Bldg-038097
84,Bldg-038101,23534.05,885.1200000000002,Atlanta,1500 Southpoint Dr,Forest Park,GA,30297,33.633246,-84.383297,On Zayo Network,On-Net,Neutral Data Center,178.15," $15,344.50 ",15344.5,Bldg-038101
85,Bldg-038105,10340.05,0.0,Atlanta,1520 Clifton Rd,Atlanta,GA,30322,33.798120000000004,-84.32236999999999,On Zayo Network,Fiber Only,Cell Site,272.78," $18,183.40 ",18183.4,Bldg-038105
86,Bldg-038109,2790.38,0.0,Atlanta,1600 Peachtree St NW,Atlanta,GA,30309,33.7971196,-84.3907348,On Zayo Network,Fiber Only,College/University,263.83," $17,914.90 ",17914.9,Bldg-038109
87,Bldg-038113,9855.96,0.0,Atlanta,1784 N Decatur Rd,Atlanta,GA,30322,33.7906216,-84.3180429,On Zayo Network,Fiber Only,College/University,123.61," $13,708.30 ",13708.3,Bldg-038113
88,Bldg-038118,12357.220000000001,0.0,Atlanta,1802 Briarcliff Rd NE,Atlanta,GA,30329,33.807637,-84.341164,On Zayo Network,On-Net,Earth Station/Satellite Farm/Uplink Facility,19.99," $10,599.70 ",10599.7,Bldg-038118
89,Bldg-038120,3620.97,0.0,Atlanta,190 Marietta St NW,Atlanta,GA,30303,33.758162899999995,-84.39442109999999,On Zayo Network,Fiber Only,Office - Multi Tenant,170.13," $15,103.90 ",15103.9,Bldg-038120
90,Bldg-038124,70844.73,1023.4200000000003,Atlanta,2 Concourse Pkwy,Atlanta,GA,30328,33.915592,-84.352876,On Zayo Network,Fiber Only,Office - Multi Tenant,397.07," $21,912.10 ",21912.1,Bldg-038124
91,Bldg-038126,4755.08,0.0,Atlanta,200 Galleria Pkwy SE,Atlanta,GA,30339,33.8859415,-84.4639805,On Zayo Network,Fiber Only,Office - Multi Tenant,428.12," $22,843.60 ",22843.6,Bldg-038126
92,Bldg-038133,636.18,0.0,Atlanta,2165 N Decatur Rd,Decatur,GA,30033,33.78999,-84.30360970000001,On Zayo Network,Fiber Only,College/University,178.45," $15,353.50 ",15353.5,Bldg-038133
93,Bldg-038139,16688.800000000003,995.76,Atlanta,2349 Meadow Church Way,Duluth,GA,30097,33.979853399999996,-84.1010239,On Zayo Network,Restricted,Mobile Service Center,525.08," $22,601.92 ",22601.92,Bldg-038139
94,Bldg-038146,14773.52,0.0,Atlanta,250 14th St NW,Atlanta,GA,30318,33.7859628,-84.39494909999999,On Zayo Network,Fiber Only,Office - Single Tenant,2127.14," $61,051.36 ",61051.36,Bldg-038146
95,Bldg-038147,65000.62999999993,0.0,Atlanta,250 Hembree Park Dr,Roswell,GA,30076,34.056728,-84.32046899999999,On Zayo Network,Restricted,Mobile Service Center,717.62," $27,222.88 ",27222.88,Bldg-038147
96,Bldg-038148,507.25,0.0,Atlanta,250 Pharr Rd NE,Atlanta,GA,30305,33.837362899999995,-84.37851850000001,On Zayo Network,Fiber Only,Office - Multi Tenant,177.53," $15,325.90 ",15325.9,Bldg-038148
97,Bldg-038160,20033.6,925.93,Atlanta,2775 Northwoods Pkwy - Bldg Atlanta 1,Norcross,GA,30071,33.954938,-84.1983939,On Zayo Network,Fiber Only,Neutral Data Center,215.14," $16,454.20 ",16454.2,Bldg-038160
98,Bldg-038161,1102.79,0.0,Atlanta,2795 Peachtree Rd NE,Atlanta,GA,30305,33.8308513,-84.3852105,On Zayo Network,Fiber Only,Office - Multi Tenant,189.92," $15,697.60 ",15697.6,Bldg-038161
99,Bldg-038163,952.04,0.0,Atlanta,2839 Paces Ferry Rd SE,Atlanta,GA,30339,33.8673602,-84.4718238,On Zayo Network,Fiber Only,Office - Multi Tenant,1427.22," $44,253.28 ",44253.28,Bldg-038163
100,Bldg-038164,3372.9900000000002,92.2,Atlanta,2859 Paces Ferry Rd SE,Atlanta,GA,30339,33.867608399999995,-84.4685194,On Zayo Network,Fiber Only,Office - Multi Tenant,663.78," $25,930.72 ",25930.72,Bldg-038164
101,Bldg-038166,1160.59,0.0,Atlanta,2935 Amwiler Rd,Atlanta,GA,30360,33.9278218,-84.2586073,On Zayo Network,Fiber Only,Office - Multi Tenant,151.64," $14,549.20 ",14549.2,Bldg-038166
102,Bldg-038174,32.66,0.0,Atlanta,3060 Peachtree Rd NW,Atlanta,GA,30305,33.839567100000004,-84.3813551,On Zayo Network,On-Net,Office - Multi Tenant,666.72," $26,001.28 ",26001.28,Bldg-038174
103,Bldg-038178,782.6800000000001,0.0,Atlanta,3130 Peachtree Rd NE,Atlanta,GA,30305,33.840787899999995,-84.37795009999999,On Zayo Network,Restricted,ILEC Central Office,202.86," $16,085.80 ",16085.8,Bldg-038178
104,Bldg-038179,33348.74000000002,0.0,Atlanta,3180 Reps Miller Rd NW,Norcross,GA,30071,33.9533636,-84.2197752,On Zayo Network,Restricted,Mobile Service Center,3179.25," $86,302.00 ",86302.0,Bldg-038179
105,Bldg-038185,526.01,0.0,Atlanta,3280 Peachtree Rd,Atlanta,GA,30305,33.844318,-84.3709205,On Zayo Network,Fiber Only,Office - Multi Tenant,44.88," $11,346.40 ",11346.4,Bldg-038185
106,Bldg-038189,648.09,0.0,Atlanta,3324 Peachtree Rd NE,Atlanta,GA,30326,33.845996,-84.369022,On Zayo Network,Fiber Only,Office - Multi Tenant,109.79," $13,293.70 ",13293.7,Bldg-038189
107,Bldg-038191,807.3000000000001,55.32,Atlanta,3350 Riverwood Pkwy,Atlanta,GA,30339,33.8780002,-84.4582807,On Zayo Network,Fiber Only,Office - Multi Tenant,227.65," $16,829.50 ",16829.5,Bldg-038191
108,Bldg-038192,1281.92,0.0,Atlanta,3399 Peachtree Rd NE,Atlanta,GA,30326,33.8461626,-84.3597375,On Zayo Network,Fiber Only,Office - Multi Tenant,663.12," $25,914.88 ",25914.88,Bldg-038192
109,Bldg-038195,1240.47,0.0,Atlanta,3455 Naturally Fresh Blvd - Bldg A,Atlanta,GA,30349,33.6138661,-84.501007,On Zayo Network,Fiber Only,Office - Single Tenant,186.22," $15,586.60 ",15586.6,Bldg-038195
110,Bldg-038197,7617.91,0.0,Atlanta,3475 Piedmont Rd NE,Atlanta,GA,30305,33.8498765,-84.3750224,On Zayo Network,Fiber Only,Office - Multi Tenant,293.28," $18,798.40 ",18798.4,Bldg-038197
111,Bldg-038198,546.3,0.0,Atlanta,3500 Lenox Rd NE,Atlanta,GA,30326,33.8520751,-84.3659184,On Zayo Network,Fiber Only,Office - Multi Tenant,542.64," $23,023.36 ",23023.36,Bldg-038198
112,Bldg-038199,0.0,0.0,Atlanta,3500 Piedmont Rd NE,Atlanta,GA,30305,33.8491465,-84.37741940000001,On Zayo Network,Fiber Only,Office - Multi Tenant,263.1," $17,893.00 ",17893.0,Bldg-038199
113,Bldg-038220,8920.05,0.0,Atlanta,4311 Best Rd,Atlanta,GA,30337,33.637576,-84.458495,On Zayo Network,Fiber Only,Carrier POP,178.8," $15,364.00 ",15364.0,Bldg-038220
114,Bldg-038221,165.96,0.0,Atlanta,4311 Communications Dr,Norcross,GA,30093,33.937041,-84.148224,On Zayo Network,Fiber Only,Office - Single Tenant,271.26," $18,137.80 ",18137.8,Bldg-038221
115,Bldg-038227,4191.4,0.0,Atlanta,470 E Paces Ferry Rd NE,Atlanta,GA,30305,33.8395244,-84.3726391,On Zayo Network,Fiber Only,Office - Multi Tenant,155.89," $14,676.70 ",14676.7,Bldg-038227
116,Bldg-038233,6321.73,0.0,Atlanta,5200 Buffington Rd,Atlanta,GA,30349,33.613442,-84.48930849999999,On Zayo Network,Fiber Only,Office - Single Tenant,137.35," $14,120.50 ",14120.5,Bldg-038233
117,Bldg-038240,1871.25,0.0,Atlanta,555 N Indian Creek Dr - Bldg L,Clarkston,GA,30021,33.7930364,-84.2342865,On Zayo Network,Fiber Only,College/University,1484.16," $45,619.84 ",45619.84,Bldg-038240
118,Bldg-038241,506.58,0.0,Atlanta,5555 Windward Pkwy,Alpharetta,GA,30004,34.0865035,-84.2678094,On Zayo Network,Fiber Only,Office - Single Tenant,313.64," $19,409.20 ",19409.2,Bldg-038241
119,Bldg-038242,20370.239999999998,313.48,Atlanta,5600 United Dr SE,Smyrna,GA,30082,33.841315,-84.522539,On Zayo Network,Fiber Only,Neutral Data Center,426.83," $22,804.90 ",22804.9,Bldg-038242
120,Bldg-038246,74394.57,0.0,Atlanta,5855 Peachtree Corners E,Norcross,GA,30092,33.953671,-84.22744200000001,On Zayo Network,Fiber Only,Mobile Service Center,2145.58," $61,493.92 ",61493.92,Bldg-038246
121,Bldg-038248,32.66,0.0,Atlanta,5901 Peachtree Dunwoody Rd,Atlanta,GA,30328,33.917094,-84.349556,On Zayo Network,On-Net,Office - Multi Tenant,455.33," $23,659.90 ",23659.9,Bldg-038248
